pakiet,wersja_lub_rewizja_w_root,rola,deklarujący_odbiorcy,decyzja
rustls,0.23.40,"TLS, certyfikaty i uwierzytelnianie JWT",tentaflow; tentaflow-core; tentaflow-desktop-core; tentaflow-mobile,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
rustls-pemfile,2.1.3,"TLS, certyfikaty i uwierzytelnianie JWT",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
semver,1.0.28,"Daty, strefy czasowe i identyfikatory",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
serde,1.0.228,Serializacja JSON i abstrakcje serde,forge-cli; forge-formats; forge-kernels; forge-server; forge-tokenize; forge-types; forge-whisper; tentaflow; tentaflow-addon-embeddings-chunker; tentaflow-addon-mcp-core; tentaflow-addon-notes; tentaflow-addon-outlook; tentaflow-addon-rag; tentaflow-addon-sdk; tentaflow-addon-teams; tentaflow-addon-teams-bot; tentaflow-addon-template; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-hardware; tentaflow-protocol; tentaflow-quantum; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-transport; tentaflow-ui; tentaflow-ui-schema; tentaflow-wrappers; tentanas-helper,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
serde_bytes,0.11,Serializacja JSON i abstrakcje serde,tentaflow-core; tentaflow-protocol,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
serde_json,1.0.150,Serializacja JSON i abstrakcje serde,forge-cli; forge-engine; forge-formats; forge-grammar; forge-hal; forge-kernels; forge-model; forge-server; forge-tokenize; forge-whisper; tentaflow; tentaflow-addon-company-lookup; tentaflow-addon-contacts; tentaflow-addon-deep-research; tentaflow-addon-embeddings-chunker; tentaflow-addon-eureka; tentaflow-addon-go2; tentaflow-addon-malicious; tentaflow-addon-mcp-core; tentaflow-addon-notes; tentaflow-addon-outlook; tentaflow-addon-phone; tentaflow-addon-rag; tentaflow-addon-sdk; tentaflow-addon-sdk-showcase; tentaflow-addon-sharepoint-rag; tentaflow-addon-teams; tentaflow-addon-teams-bot; tentaflow-addon-template; tentaflow-addon-tentavision; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-hardware; tentaflow-protocol; tentaflow-protocol-wasm; tentaflow-quantum; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-ui-schema; tentaflow-wrappers; tentanas-helper,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
serde_yaml_ng,0.10.0,"Konfiguracja i dokumenty TOML, YAML, RON lub plist",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
sha1,0.11.0,Skróty i sumy kontrolne,tentaflow-core,"Pozostaje: poszczególne algorytmy są częścią formatów plików, protokołów lub modeli. Jedna nazwa funkcji skrótu nie pozwala zmieniać algorytmu na drucie."
sha2,0.11.0,Skróty i sumy kontrolne,forge-cli; forge-formats; forge-server; tentaflow; tentaflow-cli; tentaflow-coding-agent-bridge; tentaflow-core,"Ujednolicono deklaracje wersji. Pozostaje: poszczególne algorytmy są częścią formatów plików, protokołów lub modeli. Jedna nazwa funkcji skrótu nie pozwala zmieniać algorytmu na drucie."
sherpa-rs,0.6.8,Natywne silniki mowy i modeli językowych,tentaflow-core,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
sherpa-rs-sys,0.6.8,Natywne silniki mowy i modeli językowych,tentaflow-wrappers,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
shlex,2.0.1,"Argumenty CLI, procesy i integracja z systemem",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
smallvec,1.15.2,"Bufory, reprezentacja danych i kolekcje",tentaflow-bus; tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
smartcore,0.5.0,Modele statystyczne i uczenie maszynowe,tentaflow-core,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
subtle,2,Operacje kryptograficzne o stałym czasie i zerowanie sekretów,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
symphonia,0.6.0,"Przetwarzanie audio, kodeki i transformata Fouriera",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
syn,2.0.118,Makra proceduralne i rejestracja implementacji,tentaflow-macros,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
sysinfo,0.39.5,"Argumenty CLI, procesy i integracja z systemem",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
tar,0.4.46,Archiwa i kompresja,tentaflow; tentaflow-core,"Pozostaje: formaty kompresji mają różnych odbiorców; LZ4 jest używany na ścieżce danych, archiwa i Zstandard w zasobach oraz cache."
tempfile,3.27.0,Mapowanie pamięci i operacje plikowe,forge-cli; forge-formats; forge-server; tentaflow; tentaflow-cli; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-zvec,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
thiserror,2.0.18,Obsługa błędów aplikacyjnych i typowanych,forge-hal; forge-kernels; forge-types; tentaflow-bus; tentaflow-core; tentaflow-quantum; tentaflow-transport; tentaflow-voice; tentaflow-wrappers; tentaflow-zvec,"Ujednolicono deklaracje wersji. Pozostaje: anyhow przenosi kontekst błędów aplikacji, thiserror definiuje typowane publiczne błędy."
tokenizers,0.23,Pobieranie modeli i tokenizacja,forge-tokenize,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
tokio,1.52.3,"Środowisko asynchroniczne, strumienie i kanały",forge-cli; forge-server; tentaflow; tentaflow-bus; tentaflow-client-native; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-desktop-core; tentaflow-hardware; tentaflow-mobile; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-transport; tentaflow-ui,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
tokio-rustls,0.26.4,"TLS, certyfikaty i uwierzytelnianie JWT",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
tokio-stream,0.1,"Środowisko asynchroniczne, strumienie i kanały",forge-server,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
tokio-tungstenite,0.29.0,WebSocket i WebRTC,tentaflow-core; tentaflow-teams-bot,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
tokio-util,0.7.18,"Środowisko asynchroniczne, strumienie i kanały",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
toml,1.1.2+spec-1.1.0,"Konfiguracja i dokumenty TOML, YAML, RON lub plist",tentaflow-core; tentaflow-sidecar; tentaflow-teams-bot,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
tower,0.5,Serwer HTTP i warstwy transportu HTTP,tentaflow-coding-agent-bridge,"Pozostaje: to warstwy jednego stosu HTTP, a nie niezależne implementacje tej samej aplikacyjnej funkcji."
tracing,0.1.44,Logi aplikacji i platformowe adaptery logowania,forge-cli; forge-engine; forge-hal; forge-onnx; forge-server; forge-whisper; tentaflow; tentaflow-bus; tentaflow-client-native; tentaflow-core; tentaflow-desktop-core; tentaflow-desktop-macos; tentaflow-mobile; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-transport; tentaflow-voice,"Ujednolicono deklaracje wersji. Pozostaje: log jest fasadą używaną przez część zależności, tracing modeluje zdarzenia i spany, pozostałe pakiety to odbiorniki i adaptery platformowe."
tracing-appender,0.2,Logi aplikacji i platformowe adaptery logowania,tentaflow,"Pozostaje: log jest fasadą używaną przez część zależności, tracing modeluje zdarzenia i spany, pozostałe pakiety to odbiorniki i adaptery platformowe."
tracing-subscriber,0.3.23,Logi aplikacji i platformowe adaptery logowania,forge-cli; forge-engine; tentaflow; tentaflow-client-native; tentaflow-core; tentaflow-desktop-core; tentaflow-mobile; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-transport,"Ujednolicono deklaracje wersji. Pozostaje: log jest fasadą używaną przez część zależności, tracing modeluje zdarzenia i spany, pozostałe pakiety to odbiorniki i adaptery platformowe."
tract-onnx,0.23.3,Inferencja ONNX,tentaflow-core,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
tray-icon,0.19,Interfejs natywny i zasobnik systemowy,tentaflow-desktop-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
unicode-normalization,0.1,Wyrażenia regularne i normalizacja tekstu,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
ureq,3.3.0,Klienci HTTP,tentaflow-core,Pozostaje: aplikacja korzysta z obu klientów; istniejący synchroniczny kod ureq omija wcześniejszy problem z zagnieżdżonym runtime reqwest. Migracja wymaga osobnych testów asynchroniczności.
url,2,Adresy URL i kodowanie parametrów,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
urlencoding,2,Adresy URL i kodowanie parametrów,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
uuid,1.23.3,"Daty, strefy czasowe i identyfikatory",tentaflow-client-native; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-desktop-core; tentaflow-teams-bot,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
walkdir,2,Mapowanie pamięci i operacje plikowe,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
wasm-bindgen,=0.2.125,Przeglądarkowe bindingi JavaScript i Web API,tentaflow-protocol-wasm; tentaflow-quantum; tentaflow-voxel-wasm,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
wasm-bindgen-futures,0.4,Przeglądarkowe bindingi JavaScript i Web API,tentaflow-voxel-wasm,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
wasm-bindgen-test,=0.3.75,"Testy integracyjne, porównania i fuzzing",tentaflow-quantum,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
wasmi,1.1.0,Wykonywanie addonów WASM i obsługa WASI,tentaflow-core,"Pozostaje: desktop używa JIT Wasmtime, urządzenia mobilne interpretera wasmi; WASI dostarcza interfejsy systemowe."
wasmtime,46.0.0,Wykonywanie addonów WASM i obsługa WASI,tentaflow-core,"Pozostaje: desktop używa JIT Wasmtime, urządzenia mobilne interpretera wasmi; WASI dostarcza interfejsy systemowe."
wasmtime-wasi,46.0.0,Wykonywanie addonów WASM i obsługa WASI,tentaflow-core,"Pozostaje: desktop używa JIT Wasmtime, urządzenia mobilne interpretera wasmi; WASI dostarcza interfejsy systemowe."
web-sys,0.3,Przeglądarkowe bindingi JavaScript i Web API,tentaflow-protocol-wasm; tentaflow-voxel-wasm,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
webrtc,0.17.1,WebSocket i WebRTC,tentaflow-hardware,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
wgpu,29.0.3,Renderowanie GPU i obliczenia CUDA,tentaflow-core; tentaflow-quantum; tentaflow-voxel-wasm,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
which,8.0.4,"Argumenty CLI, procesy i integracja z systemem",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
whisper-rs-sys,0.15.0,Natywne silniki mowy i modeli językowych,tentaflow-wrappers,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
wide,1.5.0,"Obliczenia tensorowe, algebra liniowa i liczby zespolone",tentaflow-voice,"Pozostaje: ndarray, nalgebra, glam i wide mają różne układy danych, API geometrii oraz wektoryzacji. Konsolidacja wymaga zmiany algorytmów i pomiarów."
windows-sys,0.61.2,Granice FFI i generowanie bindingów,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
winreg,0.56.0,Granice FFI i generowanie bindingów,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
winresource,0.1,Granice FFI i generowanie bindingów,tentaflow-desktop-windows,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
wiremock,0.6,"Testy integracyjne, porównania i fuzzing",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
x25519-dalek,2.0.1,Podpisy i wymiana kluczy,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
x509-parser,0.18,"TLS, certyfikaty i uwierzytelnianie JWT",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
zeroize,1.9.0,Operacje kryptograficzne o stałym czasie i zerowanie sekretów,tentaflow-core; tentaflow-sdk-spec,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
zip,8.6.0,Archiwa i kompresja,tentaflow-core,"Ujednolicono deklaracje wersji. Pozostaje: formaty kompresji mają różnych odbiorców; LZ4 jest używany na ścieżce danych, archiwa i Zstandard w zasobach oraz cache."
zstd,0.13.3,Archiwa i kompresja,tentaflow-core,"Pozostaje: formaty kompresji mają różnych odbiorców; LZ4 jest używany na ścieżce danych, archiwa i Zstandard w zasobach oraz cache."
